groups,poisson_param,avg_total_pareto_points,avg_initial,avg_bubble,avg_heuristic,avg_sa,avg_ga
2,0.1,2.67,0,0,0.33,1.67,2.33
2,0.2,2,0,0,1,1,2
2,0.3,2,0,0,1,1,2
2,0.4,1.33,0,0,1,1,1.33
2,0.5,1,0,0,1,1,1
2,0.6,1,0,0,1,1,1
2,0.7,1,0,0,1,1,1
2,0.8,1,0,0,1,1,1
2,0.9,1,0,0,0.67,1,1
2,1,1,0,0,1,1,1
2,1.1,1,0,0,1,1,0.67
2,1.2,1,0,0,1,1,0.67
2,1.3,1,0.33,0.33,1,1,0.67
2,1.4,1,0.67,0.67,1,1,0.67
2,1.5,1,0,0,1,1,0
2,1.6,1,0,0,1,1,0
2,1.7,1,0.67,0.67,1,1,0.67
2,1.8,1,0.33,0.33,1,1,0.33
2,1.9,1,0.67,0.67,1,1,0.67
2,2,1,0.67,0.67,1,1,0.67
3,0.1,2,0,0,0,0.33,1.67
3,0.2,2.33,0,0,1,1,2.33
3,0.3,1.33,0,0,1,1,1.33
3,0.4,2,0,0,1,1,2
3,0.5,1.33,0,0,1,1,1.33
3,0.6,1,0,0,1,1,1
3,0.7,1,0,0,1,1,1
3,0.8,1,0,0,1,1,1
3,0.9,1,0,0,1,1,1
3,1,1.33,0.33,0.33,1,1.33,1
3,1.1,1,0,0,1,1,0
3,1.2,1,0,0,1,1,0
3,1.3,1.33,0.33,0.33,1,1.33,0.33
3,1.4,1,0,0,1,1,0
3,1.5,1.67,0.67,0.67,1,1.67,1
3,1.6,2,1,1,1,2,1
3,1.7,1.67,0.67,0.67,1,1.67,0.67
3,1.8,1.33,0.67,0.67,1,1.33,0.67
3,1.9,1.67,1,1,1,1.67,1
3,2,1.33,0.67,0.67,1,1.33,0.67
4,0.1,2,0,0,0.33,0.33,2
4,0.2,2.33,0,0,1,1,2.33
4,0.3,1.67,0,0,1,1,1.67
4,0.4,1,0,0,1,1,1
4,0.5,1,0,0,1,1,1
4,0.6,1,0,0,1,1,1
4,0.7,1,0,0,0.67,0.67,1
4,0.8,1,0,0,1,1,1
4,0.9,1,0,0,1,1,1
4,1,1,0,0,1,1,0
4,1.1,1.33,0.33,0.33,1,1.33,0.67
4,1.2,1.67,0.33,0.33,1,1.67,0.67
4,1.3,1,0,0,1,1,0
4,1.4,1.67,0,0,1,1.67,0
4,1.5,1.67,0.33,0.33,1,1.67,0.67
4,1.6,1.67,0.33,0.33,1,1.67,0.33
4,1.7,1.67,0.33,0.33,1,1.67,0.33
4,1.8,1.67,0.67,0.67,1,1.67,0.67
4,1.9,1.33,0.33,0.33,1,1.33,0.33
4,2,1.67,0.67,0.67,1,1.67,0.67
