filename,groups,students_per_group,courses,poisson_param,seed,n_components_initial,var_components_initial,n_components_bubble,var_components_bubble,n_components_heuristic,n_components_heuristic_balanced,var_components_heuristic_balanced,max_students_heuristic,max_students_balanced
ds_2_20_9_0.1_14141414.csv,2,20,9,0.1,14141414,5,33.8,5,33.8,6,6,9.6,5,5
ds_2_20_9_0.1_6666.csv,2,20,9,0.1,6666,1,0,1,0,2,2,0,6,6
ds_2_20_9_0.1_7777.csv,2,20,9,0.1,7777,2,128,2,128,2,2,0,7,7
ds_2_20_9_0.2_14141414.csv,2,20,9,0.2,14141414,1,0,1,0,2,2,0,8,8
ds_2_20_9_0.2_6666.csv,2,20,9,0.2,6666,1,0,1,0,2,2,0,13,12
ds_2_20_9_0.2_7777.csv,2,20,9,0.2,7777,1,0,1,0,2,2,0,11,11
ds_2_20_9_0.3_14141414.csv,2,20,9,0.3,14141414,1,0,1,0,2,2,0,10,10
ds_2_20_9_0.3_6666.csv,2,20,9,0.3,6666,1,0,1,0,2,2,0,12,12
ds_2_20_9_0.3_7777.csv,2,20,9,0.3,7777,1,0,1,0,2,2,0,16,15
ds_2_20_9_0.4_14141414.csv,2,20,9,0.4,14141414,1,0,1,0,2,2,0,14,14
ds_2_20_9_0.4_6666.csv,2,20,9,0.4,6666,1,0,1,0,2,2,0,16,15
ds_2_20_9_0.4_7777.csv,2,20,9,0.4,7777,1,0,1,0,2,2,0,18,17
ds_2_20_9_0.5_14141414.csv,2,20,9,0.5,14141414,1,0,1,0,2,2,0,17,15
ds_2_20_9_0.5_6666.csv,2,20,9,0.5,6666,1,0,1,0,2,2,0,17,16
ds_2_20_9_0.5_7777.csv,2,20,9,0.5,7777,1,0,1,0,2,2,0,19,17
ds_2_20_9_0.6_14141414.csv,2,20,9,0.6,14141414,1,0,1,0,2,2,0,20,16
ds_2_20_9_0.6_6666.csv,2,20,9,0.6,6666,1,0,1,0,2,2,0,19,17
ds_2_20_9_0.6_7777.csv,2,20,9,0.6,7777,1,0,1,0,2,2,0,21,18
ds_2_20_9_0.7_14141414.csv,2,20,9,0.7,14141414,1,0,1,0,2,2,0,19,18
ds_2_20_9_0.7_6666.csv,2,20,9,0.7,6666,1,0,1,0,2,2,0,19,17
ds_2_20_9_0.7_7777.csv,2,20,9,0.7,7777,1,0,1,0,2,2,0,21,19
ds_2_20_9_0.8_14141414.csv,2,20,9,0.8,14141414,1,0,1,0,2,2,0,20,19
ds_2_20_9_0.8_6666.csv,2,20,9,0.8,6666,1,0,1,0,2,2,0,23,19
ds_2_20_9_0.8_7777.csv,2,20,9,0.8,7777,1,0,1,0,2,2,0,20,19
ds_2_20_9_0.9_14141414.csv,2,20,9,0.9,14141414,1,0,1,0,2,2,0,21,19
