"student_id","course","group","family_id","sibling_ids","num_siblings"
1,3,3,1,"2,3",2
2,5,1,1,"1,3",2
3,7,2,1,"1,2",2
4,5,4,2,NA,0
5,5,3,3,NA,0
6,4,1,4,"7",1
7,7,3,4,"6",1
8,3,3,5,"9",1
9,9,1,5,"8",1
10,1,2,6,NA,0
11,5,3,7,"12",1
12,3,2,7,"11",1
13,5,3,8,"14,15",2
14,8,4,8,"13,15",2
15,9,1,8,"13,14",2
16,9,1,9,"17",1
17,4,1,9,"16",1
18,7,2,10,NA,0
19,7,2,11,NA,0
20,3,1,12,NA,0
21,8,3,13,NA,0
22,3,2,14,"23",1
23,3,1,14,"22",1
24,1,4,15,NA,0
25,3,4,16,"26,27,28",3
26,1,4,16,"25,27,28",3
27,6,2,16,"25,26,28",3
28,8,1,16,"25,26,27",3
29,9,1,17,"30",1
30,4,1,17,"29",1
31,6,2,18,"32",1
32,9,2,18,"31",1
33,5,4,19,NA,0
34,8,4,20,NA,0
35,5,4,21,NA,0
36,4,2,22,NA,0
37,6,1,23,"38",1
38,8,3,23,"37",1
39,6,2,24,NA,0
40,8,4,25,"41",1
41,5,3,25,"40",1
42,7,2,26,NA,0
43,9,2,27,"44,45",2
44,1,2,27,"43,45",2
45,5,2,27,"43,44",2
46,3,2,28,NA,0
47,9,1,29,"48",1
48,6,4,29,"47",1
49,6,2,30,NA,0
50,3,3,31,NA,0
51,7,3,32,NA,0
52,8,1,33,NA,0
53,3,2,34,"54",1
54,4,1,34,"53",1
55,5,2,35,NA,0
56,9,3,36,"57",1
57,5,4,36,"56",1
58,1,1,37,NA,0
59,4,4,38,"60",1
60,4,3,38,"59",1
61,9,2,39,"62",1
62,2,4,39,"61",1
63,2,3,40,NA,0
64,6,3,41,NA,0
65,5,4,42,NA,0
66,7,3,43,NA,0
67,4,4,44,"68",1
68,3,4,44,"67",1
69,7,1,45,NA,0
70,7,4,46,"71",1
71,1,2,46,"70",1
72,5,4,47,"73",1
73,2,2,47,"72",1
74,4,4,48,"75",1
75,2,4,48,"74",1
76,7,1,49,"77",1
77,9,1,49,"76",1
78,2,3,50,NA,0
79,9,2,51,NA,0
80,5,4,52,NA,0
81,5,3,53,NA,0
82,6,2,54,NA,0
83,6,2,55,NA,0
84,1,1,56,NA,0
85,3,1,57,NA,0
86,6,1,58,"87",1
87,6,2,58,"86",1
88,4,3,59,"89,90",2
89,1,1,59,"88,90",2
90,2,3,59,"88,89",2
91,3,3,60,NA,0
92,6,1,61,"93",1
93,1,4,61,"92",1
94,2,1,62,"95",1
95,7,4,62,"94",1
