"student_id","course","group","family_id","sibling_ids","num_siblings"
1,6,1,1,NA,0
2,8,2,2,"3,4",2
3,9,1,2,"2,4",2
4,1,2,2,"2,3",2
5,7,1,3,NA,0
6,5,2,4,"7,8,9,10",4
7,4,1,4,"6,8,9,10",4
8,9,2,4,"6,7,9,10",4
9,5,1,4,"6,7,8,10",4
10,2,2,4,"6,7,8,9",4
11,1,1,5,"12",1
12,2,1,5,"11",1
13,6,2,6,"14",1
14,7,2,6,"13",1
15,2,1,7,NA,0
16,5,1,8,"17",1
17,3,2,8,"16",1
18,8,2,9,"19",1
19,9,2,9,"18",1
20,2,2,10,"21",1
21,2,1,10,"20",1
22,8,2,11,"23",1
23,6,2,11,"22",1
24,3,2,12,NA,0
25,2,1,13,NA,0
26,4,1,14,"27,28",2
27,1,1,14,"26,28",2
28,6,1,14,"26,27",2
29,3,2,15,"30",1
30,8,1,15,"29",1
31,6,1,16,NA,0
32,8,2,17,"33,34,35,36",4
33,8,1,17,"32,34,35,36",4
34,7,1,17,"32,33,35,36",4
35,1,1,17,"32,33,34,36",4
36,8,2,17,"32,33,34,35",4
37,9,1,18,NA,0
38,7,1,19,"39",1
39,3,1,19,"38",1
40,4,2,20,"41",1
41,4,2,20,"40",1
42,1,1,21,"43,44",2
43,1,1,21,"42,44",2
44,8,1,21,"42,43",2
45,1,1,22,NA,0
46,1,1,23,"47",1
47,9,1,23,"46",1
48,4,2,24,NA,0
49,2,1,25,NA,0
50,2,1,26,"51",1
51,9,2,26,"50",1
52,3,1,27,"53,54",2
53,2,2,27,"52,54",2
54,7,2,27,"52,53",2
55,1,2,28,"56,57",2
56,4,2,28,"55,57",2
57,4,1,28,"55,56",2
58,4,2,29,NA,0
59,4,2,30,NA,0
60,3,1,31,NA,0
61,9,1,32,NA,0
62,2,1,33,NA,0
63,1,1,34,"64,65,66",3
64,4,2,34,"63,65,66",3
65,5,1,34,"63,64,66",3
66,2,1,34,"63,64,65",3
67,7,1,35,NA,0
68,2,2,36,"69",1
69,7,2,36,"68",1
70,1,2,37,NA,0
71,1,1,38,NA,0
72,3,1,39,"73,74,75,76,77,78,79,80",8
73,1,2,39,"72,74,75,76,77,78,79,80",8
74,9,1,39,"72,73,75,76,77,78,79,80",8
75,3,2,39,"72,73,74,76,77,78,79,80",8
76,8,1,39,"72,73,74,75,77,78,79,80",8
77,7,2,39,"72,73,74,75,76,78,79,80",8
78,2,2,39,"72,73,74,75,76,77,79,80",8
79,3,1,39,"72,73,74,75,76,77,78,80",8
80,1,2,39,"72,73,74,75,76,77,78,79",8
81,3,1,40,NA,0
82,2,2,41,"83",1
83,3,2,41,"82",1
84,3,2,42,"85,86,87",3
85,2,1,42,"84,86,87",3
86,9,1,42,"84,85,87",3
87,4,1,42,"84,85,86",3
88,4,2,43,NA,0
89,7,1,44,"90,91",2
90,8,2,44,"89,91",2
91,2,2,44,"89,90",2
92,7,1,45,NA,0
93,5,2,46,"94",1
94,7,1,46,"93",1
95,2,1,47,"96",1
96,6,2,47,"95",1
97,4,2,48,NA,0
98,3,1,49,NA,0
99,6,1,50,"100",1
100,3,1,50,"99",1
101,5,1,51,"102,103,104,105",4
102,8,2,51,"101,103,104,105",4
103,8,1,51,"101,102,104,105",4
104,1,1,51,"101,102,103,105",4
105,8,1,51,"101,102,103,104",4
