"student_id","course","group","family_id","sibling_ids","num_siblings"
1,5,2,1,"2",1
2,9,1,1,"1",1
3,4,1,2,"4",1
4,4,2,2,"3",1
5,3,2,3,"6,7,8",3
6,6,1,3,"5,7,8",3
7,4,1,3,"5,6,8",3
8,1,1,3,"5,6,7",3
9,3,2,4,"10,11,12",3
10,6,2,4,"9,11,12",3
11,7,1,4,"9,10,12",3
12,4,2,4,"9,10,11",3
13,3,1,5,NA,0
14,6,1,6,"15,16,17,18",4
15,1,1,6,"14,16,17,18",4
16,8,1,6,"14,15,17,18",4
17,9,2,6,"14,15,16,18",4
18,3,1,6,"14,15,16,17",4
19,5,2,7,"20",1
20,7,1,7,"19",1
21,3,1,8,"22,23,24,25,26,27,28",7
22,3,1,8,"21,23,24,25,26,27,28",7
23,9,1,8,"21,22,24,25,26,27,28",7
24,8,1,8,"21,22,23,25,26,27,28",7
25,7,1,8,"21,22,23,24,26,27,28",7
26,9,1,8,"21,22,23,24,25,27,28",7
27,2,1,8,"21,22,23,24,25,26,28",7
28,1,2,8,"21,22,23,24,25,26,27",7
29,9,1,9,"30,31,32",3
30,7,1,9,"29,31,32",3
31,9,1,9,"29,30,32",3
32,6,1,9,"29,30,31",3
33,3,1,10,"34",1
34,2,1,10,"33",1
35,5,1,11,"36,37,38,39",4
36,2,2,11,"35,37,38,39",4
37,3,2,11,"35,36,38,39",4
38,2,2,11,"35,36,37,39",4
39,7,2,11,"35,36,37,38",4
40,6,1,12,NA,0
41,4,2,13,NA,0
42,7,2,14,"43,44,45,46,47,48,49,50,51,52",10
43,3,2,14,"42,44,45,46,47,48,49,50,51,52",10
44,3,2,14,"42,43,45,46,47,48,49,50,51,52",10
45,2,1,14,"42,43,44,46,47,48,49,50,51,52",10
46,7,2,14,"42,43,44,45,47,48,49,50,51,52",10
47,6,2,14,"42,43,44,45,46,48,49,50,51,52",10
48,4,2,14,"42,43,44,45,46,47,49,50,51,52",10
49,7,1,14,"42,43,44,45,46,47,48,50,51,52",10
50,9,2,14,"42,43,44,45,46,47,48,49,51,52",10
51,8,2,14,"42,43,44,45,46,47,48,49,50,52",10
52,5,1,14,"42,43,44,45,46,47,48,49,50,51",10
53,3,2,15,"54",1
54,5,1,15,"53",1
55,4,1,16,"56,57",2
56,2,2,16,"55,57",2
57,4,2,16,"55,56",2
58,4,1,17,"59",1
59,5,2,17,"58",1
60,4,2,18,"61",1
61,6,1,18,"60",1
62,1,2,19,"63,64",2
63,3,1,19,"62,64",2
64,3,2,19,"62,63",2
65,9,2,20,"66",1
66,1,2,20,"65",1
67,9,1,21,NA,0
68,8,1,22,"69,70",2
69,3,2,22,"68,70",2
70,8,1,22,"68,69",2
71,4,1,23,NA,0
72,1,2,24,NA,0
73,2,1,25,"74,75",2
74,2,2,25,"73,75",2
75,2,2,25,"73,74",2
76,4,2,26,"77,78",2
77,2,2,26,"76,78",2
78,9,1,26,"76,77",2
79,5,2,27,NA,0
80,4,1,28,"81,82,83,84,85,86,87",7
81,1,1,28,"80,82,83,84,85,86,87",7
82,9,2,28,"80,81,83,84,85,86,87",7
83,1,2,28,"80,81,82,84,85,86,87",7
84,8,2,28,"80,81,82,83,85,86,87",7
85,2,1,28,"80,81,82,83,84,86,87",7
86,5,2,28,"80,81,82,83,84,85,87",7
87,4,2,28,"80,81,82,83,84,85,86",7
88,4,1,29,"89",1
89,9,1,29,"88",1
90,4,2,30,NA,0
91,4,2,31,NA,0
92,6,2,32,"93,94",2
93,3,1,32,"92,94",2
94,9,1,32,"92,93",2
95,6,2,33,"96,97,98,99,100,101",6
96,7,1,33,"95,97,98,99,100,101",6
97,3,1,33,"95,96,98,99,100,101",6
98,7,1,33,"95,96,97,99,100,101",6
99,5,2,33,"95,96,97,98,100,101",6
100,5,1,33,"95,96,97,98,99,101",6
101,6,2,33,"95,96,97,98,99,100",6
102,8,1,34,"103,104",2
103,5,2,34,"102,104",2
104,5,2,34,"102,103",2
105,1,2,35,NA,0
106,7,2,36,"107,108",2
107,2,2,36,"106,108",2
108,6,2,36,"106,107",2
109,4,1,37,NA,0
110,2,2,38,NA,0
111,8,2,39,"112",1
112,8,2,39,"111",1
113,7,2,40,"114",1
114,9,2,40,"113",1
115,3,1,41,"116",1
116,8,1,41,"115",1
117,3,2,42,"118,119",2
118,6,2,42,"117,119",2
119,5,2,42,"117,118",2
120,8,1,43,NA,0
121,5,1,44,"122,123,124,125",4
122,9,2,44,"121,123,124,125",4
123,5,1,44,"121,122,124,125",4
124,1,2,44,"121,122,123,125",4
125,3,2,44,"121,122,123,124",4
126,6,2,45,"127,128",2
127,9,2,45,"126,128",2
128,2,2,45,"126,127",2
129,8,2,46,"130,131,132",3
130,2,2,46,"129,131,132",3
131,3,1,46,"129,130,132",3
132,4,1,46,"129,130,131",3
133,5,2,47,"134,135,136,137",4
134,1,1,47,"133,135,136,137",4
135,7,1,47,"133,134,136,137",4
136,3,1,47,"133,134,135,137",4
137,2,2,47,"133,134,135,136",4
138,3,2,48,"139,140,141,142",4
139,6,1,48,"138,140,141,142",4
140,1,2,48,"138,139,141,142",4
141,8,1,48,"138,139,140,142",4
142,2,1,48,"138,139,140,141",4
143,9,2,49,"144,145,146,147",4
144,9,1,49,"143,145,146,147",4
145,2,2,49,"143,144,146,147",4
146,9,1,49,"143,144,145,147",4
147,5,2,49,"143,144,145,146",4
148,2,1,50,NA,0
149,7,2,51,"150,151",2
150,6,2,51,"149,151",2
151,3,2,51,"149,150",2
152,1,2,52,"153",1
153,4,2,52,"152",1
154,1,1,53,"155,156",2
155,9,1,53,"154,156",2
156,8,1,53,"154,155",2
157,7,1,54,"158,159",2
158,4,2,54,"157,159",2
159,2,1,54,"157,158",2
160,6,1,55,"161,162,163",3
161,3,1,55,"160,162,163",3
162,5,2,55,"160,161,163",3
163,5,2,55,"160,161,162",3
164,4,1,56,"165,166,167,168,169,170,171",7
165,9,2,56,"164,166,167,168,169,170,171",7
166,7,1,56,"164,165,167,168,169,170,171",7
167,8,1,56,"164,165,166,168,169,170,171",7
168,7,1,56,"164,165,166,167,169,170,171",7
169,8,2,56,"164,165,166,167,168,170,171",7
170,9,2,56,"164,165,166,167,168,169,171",7
171,6,2,56,"164,165,166,167,168,169,170",7
172,1,2,57,"173,174",2
173,3,1,57,"172,174",2
174,5,1,57,"172,173",2
175,4,1,58,"176",1
176,1,2,58,"175",1
177,3,2,59,NA,0
178,4,1,60,"179,180,181,182,183",5
179,2,2,60,"178,180,181,182,183",5
180,5,2,60,"178,179,181,182,183",5
181,7,1,60,"178,179,180,182,183",5
182,7,1,60,"178,179,180,181,183",5
183,6,1,60,"178,179,180,181,182",5
184,1,2,61,"185,186,187",3
185,7,1,61,"184,186,187",3
186,7,2,61,"184,185,187",3
187,5,2,61,"184,185,186",3
188,8,2,62,"189,190",2
189,3,2,62,"188,190",2
190,3,1,62,"188,189",2
191,7,1,63,"192,193,194",3
192,2,2,63,"191,193,194",3
193,3,2,63,"191,192,194",3
194,2,1,63,"191,192,193",3
195,7,2,64,"196,197,198,199",4
196,2,1,64,"195,197,198,199",4
197,7,2,64,"195,196,198,199",4
198,7,1,64,"195,196,197,199",4
199,1,1,64,"195,196,197,198",4
200,3,1,65,NA,0
201,6,1,66,NA,0
202,1,1,67,"203,204",2
203,9,1,67,"202,204",2
204,4,1,67,"202,203",2
205,5,1,68,"206",1
206,5,1,68,"205",1
207,6,2,69,"208,209",2
208,1,2,69,"207,209",2
209,7,2,69,"207,208",2
210,6,2,70,"211,212,213,214,215,216",6
211,8,1,70,"210,212,213,214,215,216",6
212,3,1,70,"210,211,213,214,215,216",6
213,4,2,70,"210,211,212,214,215,216",6
214,1,1,70,"210,211,212,213,215,216",6
215,8,2,70,"210,211,212,213,214,216",6
216,8,2,70,"210,211,212,213,214,215",6
217,7,2,71,NA,0
218,5,1,72,"219,220,221,222,223,224",6
219,8,1,72,"218,220,221,222,223,224",6
220,1,1,72,"218,219,221,222,223,224",6
221,2,1,72,"218,219,220,222,223,224",6
222,6,1,72,"218,219,220,221,223,224",6
223,5,1,72,"218,219,220,221,222,224",6
224,1,2,72,"218,219,220,221,222,223",6
225,9,2,73,"226,227,228",3
226,6,2,73,"225,227,228",3
227,5,1,73,"225,226,228",3
228,3,1,73,"225,226,227",3
229,7,1,74,"230",1
230,5,2,74,"229",1
231,2,2,75,"232,233,234",3
232,4,2,75,"231,233,234",3
233,1,2,75,"231,232,234",3
234,8,1,75,"231,232,233",3
235,1,2,76,"236,237,238,239",4
236,1,1,76,"235,237,238,239",4
237,2,1,76,"235,236,238,239",4
238,4,2,76,"235,236,237,239",4
239,2,1,76,"235,236,237,238",4
240,4,1,77,"241,242",2
241,9,2,77,"240,242",2
242,9,2,77,"240,241",2
243,5,2,78,"244",1
244,5,1,78,"243",1
245,3,2,79,"246",1
246,8,2,79,"245",1
247,6,1,80,"248,249",2
248,9,1,80,"247,249",2
249,6,1,80,"247,248",2
250,7,1,81,"251,252,253,254,255,256,257",7
251,6,1,81,"250,252,253,254,255,256,257",7
252,5,2,81,"250,251,253,254,255,256,257",7
253,9,2,81,"250,251,252,254,255,256,257",7
254,7,2,81,"250,251,252,253,255,256,257",7
255,2,1,81,"250,251,252,253,254,256,257",7
256,4,1,81,"250,251,252,253,254,255,257",7
257,5,2,81,"250,251,252,253,254,255,256",7
258,4,2,82,"259,260,261",3
259,8,2,82,"258,260,261",3
260,9,1,82,"258,259,261",3
261,9,1,82,"258,259,260",3
262,5,1,83,"263",1
263,9,2,83,"262",1
264,1,1,84,"265",1
265,3,1,84,"264",1
266,1,2,85,"267,268",2
267,1,2,85,"266,268",2
268,4,1,85,"266,267",2
269,7,2,86,NA,0
270,4,1,87,"271",1
271,1,1,87,"270",1
272,4,1,88,"273,274,275,276,277",5
273,2,2,88,"272,274,275,276,277",5
274,8,2,88,"272,273,275,276,277",5
275,7,2,88,"272,273,274,276,277",5
276,1,1,88,"272,273,274,275,277",5
277,2,2,88,"272,273,274,275,276",5
278,8,2,89,NA,0
279,8,2,90,"280,281,282,283,284,285,286",7
280,3,2,90,"279,281,282,283,284,285,286",7
281,2,1,90,"279,280,282,283,284,285,286",7
282,1,1,90,"279,280,281,283,284,285,286",7
283,7,2,90,"279,280,281,282,284,285,286",7
284,9,2,90,"279,280,281,282,283,285,286",7
285,3,1,90,"279,280,281,282,283,284,286",7
286,5,1,90,"279,280,281,282,283,284,285",7
287,6,1,91,NA,0
288,8,2,92,"289",1
289,6,1,92,"288",1
290,1,2,93,"291,292,293",3
291,4,1,93,"290,292,293",3
292,4,2,93,"290,291,293",3
293,5,2,93,"290,291,292",3
294,2,2,94,"295,296,297",3
295,8,2,94,"294,296,297",3
296,7,2,94,"294,295,297",3
297,6,1,94,"294,295,296",3
298,5,1,95,NA,0
299,6,1,96,"300,301",2
300,4,1,96,"299,301",2
301,6,1,96,"299,300",2
302,2,1,97,"303,304,305",3
303,9,1,97,"302,304,305",3
304,3,1,97,"302,303,305",3
305,7,1,97,"302,303,304",3
306,9,1,98,"307,308,309",3
307,2,1,98,"306,308,309",3
308,8,1,98,"306,307,309",3
309,1,1,98,"306,307,308",3
310,6,2,99,"311,312,313",3
311,3,2,99,"310,312,313",3
312,8,2,99,"310,311,313",3
313,4,2,99,"310,311,312",3
314,6,2,100,"315",1
315,1,1,100,"314",1
316,5,1,101,"317",1
317,8,1,101,"316",1
318,7,1,102,"319,320,321,322",4
319,9,2,102,"318,320,321,322",4
320,8,2,102,"318,319,321,322",4
